BatchId,EntryId,PartNo,PartName,TechId,TechName,ShiftId,ShiftName,TeamId,TeamName,EntryStartTime,EntryEndTime,TAGNAME,TAGDESCRIPTION,VALUE,MYTIME
1911TG####024,1911TG####024_YP5A,451212000,泰山(华贵)烟丝,LAC5,叶片加料-5K,1,早班,3,丙班,2019/11/14 7:58,2019/11/14 9:04,T_LAC5_BEL_TbcLeafFlowStdDv,润叶加料烟叶流量标准偏差,49.11834513,04:47.0
1911TG####024,1911TG####024_YP5A,451212000,泰山(华贵)烟丝,LAC5,叶片加料-5K,1,早班,3,丙班,2019/11/14 7:58,2019/11/14 9:04,T_LAC5_ADD_CstLiqdFlowStdDv,润叶加料料液流量标准偏差,0.14381701,04:52.0
1911HCc###019,1911HCc###019_YP9B,451101005,哈德门(纯香)烟丝,LAC,叶片加料-9K,1,早班,3,丙班,2019/11/14 9:19,2019/11/14 9:55,T_LAC9_ADD_CstLiqdFlowStdDv,润叶加料料液流量标准偏差,0.09742477,55:36.0
1911HCc###019,1911HCc###019_YP9B,451101005,哈德门(纯香)烟丝,LAC,叶片加料-9K,1,早班,3,丙班,2019/11/14 9:19,2019/11/14 9:55,T_LAC9_BEL_TbcLeafFlowStdDv,润叶加料烟叶流量标准偏差,201.2745668,55:33.0
1911TH####023,1911TH####023_YP5A,451211000,泰山(宏图)烟丝,LAC5,叶片加料-5K,1,早班,3,丙班,2019/11/14 9:24,2019/11/14 10:32,T_LAC5_ADD_CstLiqdFlowStdDv,润叶加料料液流量标准偏差,0.23494141,32:47.0
1911TH####023,1911TH####023_YP5A,451211000,泰山(宏图)烟丝,LAC5,叶片加料-5K,1,早班,3,丙班,2019/11/14 9:24,2019/11/14 10:32,T_LAC5_BEL_TbcLeafFlowStdDv,润叶加料烟叶流量标准偏差,128.8548146,32:50.0
1911HCc###020,1911HCc###020_YP9A,451101005,哈德门(纯香)烟丝,LAC,叶片加料-9K,1,早班,3,丙班,2019/11/14 10:25,2019/11/14 11:01,T_LAC9_BEL_TbcLeafFlowStdDv,润叶加料烟叶流量标准偏差,10.29147324,02:19.0
1911HCc###020,1911HCc###020_YP9A,451101005,哈德门(纯香)烟丝,LAC,叶片加料-9K,1,早班,3,丙班,2019/11/14 10:25,2019/11/14 11:01,T_LAC9_ADD_CstLiqdFlowStdDv,润叶加料料液流量标准偏差,0.08736797,02:22.0
1911HCc###020,1911HCc###020_YP9B,451101005,哈德门(纯香)烟丝,LAC,叶片加料-9K,1,早班,3,丙班,2019/11/14 11:50,2019/11/14 12:25,T_LAC9_ADD_CstLiqdFlowStdDv,润叶加料料液流量标准偏差,0.06769139,26:15.0
1911HCc###020,1911HCc###020_YP9B,451101005,哈德门(纯香)烟丝,LAC,叶片加料-9K,1,早班,3,丙班,2019/11/14 11:50,2019/11/14 12:25,T_LAC9_BEL_TbcLeafFlowStdDv,润叶加料烟叶流量标准偏差,318.3793662,26:12.0
1911TH####024,1911TH####024_YP5A,451211000,泰山(宏图)烟丝,LAC5,叶片加料-5K,1,早班,3,丙班,2019/11/14 11:35,2019/11/14 12:45,T_LAC5_BEL_TbcLeafFlowStdDv,润叶加料烟叶流量标准偏差,46.98150885,45:35.0
1911TH####024,1911TH####024_YP5A,451211000,泰山(宏图)烟丝,LAC5,叶片加料-5K,1,早班,3,丙班,2019/11/14 11:35,2019/11/14 12:45,T_LAC5_ADD_CstLiqdFlowStdDv,润叶加料料液流量标准偏差,0.15546577,45:38.0
1911TH####021,1911TH####021_YP9B,451211000,泰山(宏图)烟丝,LAC,叶片加料-9K,1,早班,3,丙班,2019/11/14 12:35,2019/11/14 13:10,T_LAC9_BEL_TbcLeafFlowStdDv,润叶加料烟叶流量标准偏差,7.76560187,10:29.0
1911TH####021,1911TH####021_YP9B,451211000,泰山(宏图)烟丝,LAC,叶片加料-9K,1,早班,3,丙班,2019/11/14 12:35,2019/11/14 13:10,T_LAC9_ADD_CstLiqdFlowStdDv,润叶加料料液流量标准偏差,0.09068225,10:32.0
1911TH####022,1911TH####022_YP9B,451211000,泰山(宏图)烟丝,LAC,叶片加料-9K,1,早班,3,丙班,2019/11/14 13:19,2019/11/14 13:54,T_LAC9_ADD_CstLiqdFlowStdDv,润叶加料料液流量标准偏差,0.12292948,55:41.0
1911TH####022,1911TH####022_YP9B,451211000,泰山(宏图)烟丝,LAC,叶片加料-9K,1,早班,3,丙班,2019/11/14 13:19,2019/11/14 13:54,T_LAC9_BEL_TbcLeafFlowStdDv,润叶加料烟叶流量标准偏差,276.9374169,55:17.0
1911THJ###027,1911THJ###027_YP9A,451217000,泰山(红将军)烟丝,LAC,叶片加料-9K,2,中班,1,甲班,2019/11/14 14:13,2019/11/14 14:50,T_LAC9_BEL_TbcLeafFlowStdDv,润叶加料烟叶流量标准偏差,224.7986572,51:10.0
1911THJ###027,1911THJ###027_YP9A,451217000,泰山(红将军)烟丝,LAC,叶片加料-9K,2,中班,1,甲班,2019/11/14 14:13,2019/11/14 14:50,T_LAC9_ADD_CstLiqdFlowStdDv,润叶加料料液流量标准偏差,0.1153109,51:13.0
1911TSPA##007,1911TSPA##007_YP5X,451256000,泰山(平安)烟丝,LAC5,叶片加料-5K,2,中班,1,甲班,2019/11/14 13:17,2019/11/14 15:10,T_LAC5_BEL_TbcLeafFlowStdDv,润叶加料烟叶流量标准偏差,5.17001102,10:18.0
1911TSPA##007,1911TSPA##007_YP5X,451256000,泰山(平安)烟丝,LAC5,叶片加料-5K,2,中班,1,甲班,2019/11/14 13:17,2019/11/14 15:10,T_LAC5_ADD_CstLiqdFlowStdDv,润叶加料料液流量标准偏差,0.16101596,10:21.0
1911THJ###027,1911THJ###027_YP9B,451217000,泰山(红将军)烟丝,LAC,叶片加料-9K,2,中班,1,甲班,2019/11/14 15:18,2019/11/14 15:54,T_LAC9_ADD_CstLiqdFlowStdDv,润叶加料料液流量标准偏差,0.15028887,55:24.0
1911THJ###027,1911THJ###027_YP9B,451217000,泰山(红将军)烟丝,LAC,叶片加料-9K,2,中班,1,甲班,2019/11/14 15:18,2019/11/14 15:54,T_LAC9_BEL_TbcLeafFlowStdDv,润叶加料烟叶流量标准偏差,170.5120959,55:20.0
1911HCc###021,1911HCc###021_YP5A,451101005,哈德门(纯香)烟丝,LAC5,叶片加料-5K,2,中班,1,甲班,2019/11/14 15:30,2019/11/14 16:31,T_LAC5_BEL_TbcLeafFlowStdDv,润叶加料烟叶流量标准偏差,70.16193368,31:41.0
1911HCc###021,1911HCc###021_YP5A,451101005,哈德门(纯香)烟丝,LAC5,叶片加料-5K,2,中班,1,甲班,2019/11/14 15:30,2019/11/14 16:31,T_LAC5_ADD_CstLiqdFlowStdDv,润叶加料料液流量标准偏差,0.13997451,31:44.0
1911THJ###028,1911THJ###028_YP9A,451217000,泰山(红将军)烟丝,LAC,叶片加料-9K,2,中班,1,甲班,2019/11/14 16:33,2019/11/14 17:11,T_LAC9_ADD_CstLiqdFlowStdDv,润叶加料料液流量标准偏差,0.11254753,11:58.0
1911THJ###028,1911THJ###028_YP9A,451217000,泰山(红将军)烟丝,LAC,叶片加料-9K,2,中班,1,甲班,2019/11/14 16:33,2019/11/14 17:11,T_LAC9_BEL_TbcLeafFlowStdDv,润叶加料烟叶流量标准偏差,207.2202022,11:55.0
1911HCc###021,1911HCc###021_YP5B,451101005,哈德门(纯香)烟丝,LAC5,叶片加料-5K,2,中班,1,甲班,2019/11/14 16:45,2019/11/14 17:45,T_LAC5_ADD_CstLiqdFlowStdDv,润叶加料料液流量标准偏差,0.14167293,45:50.0
1911HCc###021,1911HCc###021_YP5B,451101005,哈德门(纯香)烟丝,LAC5,叶片加料-5K,2,中班,1,甲班,2019/11/14 16:45,2019/11/14 17:45,T_LAC5_BEL_TbcLeafFlowStdDv,润叶加料烟叶流量标准偏差,103.6700176,45:47.0
1911THJ###028,1911THJ###028_YP9B,451217000,泰山(红将军)烟丝,LAC,叶片加料-9K,2,中班,1,甲班,2019/11/14 17:30,2019/11/14 18:07,T_LAC9_ADD_CstLiqdFlowStdDv,润叶加料料液流量标准偏差,0.14386723,07:48.0
1911THJ###028,1911THJ###028_YP9B,451217000,泰山(红将军)烟丝,LAC,叶片加料-9K,2,中班,1,甲班,2019/11/14 17:30,2019/11/14 18:07,T_LAC9_BEL_TbcLeafFlowStdDv,润叶加料烟叶流量标准偏差,288.8165101,07:45.0
