部门编码,设备编码,通道号,设备号,微软标签,KEPWARE标签名,Address,Data Type,Description,备注
,KZS3,DL,DL,DL.DL.DL_KZS3_CS_TAT7203_T5,DL_KZS3_CS_TAT7203_T5,DB12.DBD44,FLOAT,储叶丝间测点5温度,
,KZS3,DL,DL,DL.DL.DL_KZS3_CS_TAT7203_H4,DL_KZS3_CS_TAT7203_H4,DB12.DBD32,FLOAT,储叶丝间测点4湿度,
,KZS3,DL,DL,DL.DL.DL_KZS3_CS_TAT7203_T4,DL_KZS3_CS_TAT7203_T4,DB12.DBD36,FLOAT,储叶丝间测点4温度,
,KZS3,DL,DL,DL.DL.DL_KZS3_CS_TAT7203_H3,DL_KZS3_CS_TAT7203_H3,DB12.DBD24,FLOAT,储叶丝间测点3湿度,
,KZS3,DL,DL,DL.DL.DL_KZS3_CS_TAT7203_T3,DL_KZS3_CS_TAT7203_T3,DB12.DBD28,FLOAT,储叶丝间测点3温度,
,KZS3,DL,DL,DL.DL.DL_KZS3_CS_TAT7203_H2,DL_KZS3_CS_TAT7203_H2,DB12.DBD16,FLOAT,储叶丝间测点2湿度,
,KZS3,DL,DL,DL.DL.DL_KZS3_CS_TAT7203_T2,DL_KZS3_CS_TAT7203_T2,DB12.DBD20,FLOAT,储叶丝间测点2温度,
,KZS3,DL,DL,DL.DL.DL_KZS3_CS_TAT7203_H1,DL_KZS3_CS_TAT7203_H1,DB12.DBD8,FLOAT,储叶丝间测点1湿度,
,KZS3,DL,DL,DL.DL.DL_KZS3_CS_TAT7203_T1,DL_KZS3_CS_TAT7203_T1,DB12.DBD12,FLOAT,储叶丝间测点1温度,
,KZS4,DL,DL,DL.DL.DL_KZS4_CS_TAT7204_H2,DL_KZS4_CS_TAT7204_H2,DB12.DBD56,FLOAT,储叶丝间测点2湿度,
,KZS4,DL,DL,DL.DL.DL_KZS4_CS_TAT7204_T2,DL_KZS4_CS_TAT7204_T2,DB12.DBD60,FLOAT,储叶丝间测点2温度,
,KZS4,DL,DL,DL.DL.DL_KZS4_CS_TAT7204_H1,DL_KZS4_CS_TAT7204_H1,DB12.DBD48,FLOAT,储叶丝间测点1湿度,
,KZS4,DL,DL,DL.DL.DL_KZS4_CS_TAT7204_T1,DL_KZS4_CS_TAT7204_T1,DB12.DBD52,FLOAT,储叶丝间测点1温度,
,KZS10,DL,DL,DL.DL.DL_KZS10_SQ_TAT7210_H1,DL_KZS10_SQ_TAT7210_H1,DB12.DBD184,FLOAT,三千线大区域测点1湿度,
